hnn_time_s,hnn_squared_position_error,hnn_cumulative_mse,lqr_time_s,lqr_squared_position_error,lqr_cumulative_mse
8.494098902,0.01197035818,0.05927330038,3.112483025,0.005875807275,0.1352409832
8.5432868,0.01202073379,0.05896844511,3.132555962,0.005975539881,0.1344070126
8.586512804,0.01201982131,0.05866749239,3.152571917,0.006101229854,0.1335845396
8.63398385,0.01204425331,0.05837052909,3.172947884,0.006154122277,0.1327728809
8.73347187,0.01203239456,0.05807724976,3.193542004,0.00623844292,0.13197203
8.789202929,0.01208118547,0.05778796633,3.213069916,0.006433173666,0.1311824775
8.842165947,0.01211738935,0.05750252523,3.232208967,0.006433173666,0.1304027943
8.914876938,0.01230386562,0.05722178821,3.254765034,0.006584407838,0.129633736
8.961041927,0.01244815716,0.05694540777,3.273721933,0.006705701297,0.128874921
9.01155901,0.0124969556,0.05667271788,3.293930054,0.006884872029,0.1281265158
9.067178011,0.01272358457,0.05640473536,3.31299305,0.007006444938,0.1273879787
9.113190889,0.01284947762,0.0561407641,3.332571983,0.007168090547,0.1266593734
9.16249299,0.0130152163,0.05588097164,3.353096962,0.007398468874,0.1259409342
9.212510824,0.01306707049,0.05562460098,3.373113871,0.007461233225,0.1252314749
9.26372695,0.0131116903,0.05537154794,3.39268899,0.007641096027,0.1245315322
9.310248852,0.01316325229,0.05512179471,3.412820816,0.007766578494,0.1238406153
9.359310865,0.01314428255,0.05487486817,3.432410002,0.007901532193,0.1231586207
nan,nan,nan,3.453387976,0.008001789429,0.1224851889
nan,nan,nan,3.472460985,0.008051132196,0.1218198746
nan,nan,nan,3.493526936,0.008146356542,0.1211628023
nan,nan,nan,3.513783932,0.008219377533,0.1205137021
nan,nan,nan,3.532881975,0.008286070494,0.1198724014
nan,nan,nan,3.553515911,0.008340146256,0.1192386954
nan,nan,nan,3.572727919,0.008392683018,0.1186124467
nan,nan,nan,3.592836857,0.008426883888,0.1179934267
nan,nan,nan,3.612905025,0.008468251617,0.1173815542
nan,nan,nan,3.632910013,0.008563498068,0.1167770095
nan,nan,nan,3.653498888,0.00863841605,0.1161795587
nan,nan,nan,3.673161983,0.008663970424,0.1155888137
nan,nan,nan,3.695533037,0.008708351771,0.1150047674
nan,nan,nan,3.71466589,0.008767461634,0.1144273908
nan,nan,nan,3.733834028,0.008787643198,0.1138563651
nan,nan,nan,3.752842903,0.00883043109,0.1132917096
nan,nan,nan,3.772754908,0.008926166155,0.112733605
nan,nan,nan,3.792701006,0.008953698884,0.1121815843
nan,nan,nan,3.812893867,0.009020651181,0.1116357592
nan,nan,nan,3.833310843,0.009109500596,0.1110961473
nan,nan,nan,3.852637053,0.00913915577,0.1105623411
nan,nan,nan,3.873200893,0.009172921514,0.1100342712
nan,nan,nan,3.893306017,0.009202473321,0.1095118267
nan,nan,nan,3.913213015,0.009233962298,0.1089949304
nan,nan,nan,3.932977915,0.009212279096,0.1084832245
nan,nan,nan,3.952741861,0.009224664882,0.1079768033
nan,nan,nan,3.972919941,0.009184375442,0.1074753189
nan,nan,nan,3.992750883,0.009221746355,0.1069790888
nan,nan,nan,4.012701035,0.009246080107,0.1064879681
nan,nan,nan,4.033443928,0.009274065382,0.1060018986
nan,nan,nan,4.053102016,0.009278499032,0.1055206876
nan,nan,nan,4.072690964,0.009273696969,0.1050442174
nan,nan,nan,4.092588902,0.009270692574,0.1045724266
nan,nan,nan,4.113103867,0.009270821716,0.1041052619
nan,nan,nan,4.132541895,0.009296072882,0.1036427781
nan,nan,nan,4.152595043,0.009311069714,0.1031848571
nan,nan,nan,4.172891855,0.009310498825,0.1027313578
nan,nan,nan,4.192679882,0.009318051995,0.1022822554
nan,nan,nan,4.212967873,0.009351567921,0.101837611
nan,nan,nan,4.232882977,0.009382945001,0.1013973506
nan,nan,nan,4.252562046,0.009368482754,0.1009611949
nan,nan,nan,4.275704861,0.009350722861,0.10052907
nan,nan,nan,4.292961836,0.009372047337,0.1001011028
nan,nan,nan,4.312558889,0.009333133715,0.09967695337
nan,nan,nan,4.332914829,0.009310029995,0.0992566421
nan,nan,nan,4.353262901,0.009299639041,0.09884017449
nan,nan,nan,4.373275995,0.009299639041,0.0984275453
nan,nan,nan,4.393726826,0.009216135171,0.09801831865
nan,nan,nan,4.414152861,0.009196587857,0.09761273997
nan,nan,nan,4.433027029,0.009134623533,0.09721056671
nan,nan,nan,4.452391863,0.009159571112,0.09681214591
nan,nan,nan,4.472945929,0.009119364638,0.09641713339
nan,nan,nan,4.492900848,0.009111508077,0.09602562834
nan,nan,nan,4.512238026,0.009080403846,0.09563748002
nan,nan,nan,4.532744884,0.009066874569,0.09525272177
nan,nan,nan,4.552810907,0.009047794458,0.09487128404
nan,nan,nan,4.572582006,0.009015943721,0.09449306668
nan,nan,nan,4.592901945,0.009020455553,0.09411818681
nan,nan,nan,4.612673998,0.009028082304,0.0937466143
nan,nan,nan,4.632534981,0.009018878429,0.09337823284
nan,nan,nan,4.652870893,0.009010497021,0.09301300454
nan,nan,nan,4.672798872,0.009016866675,0.09265095223
nan,nan,nan,4.692867041,0.009015360026,0.09229200119
nan,nan,nan,4.71389699,0.009001947086,0.09193606078
nan,nan,nan,4.732638836,0.009012876941,0.09158319617
nan,nan,nan,4.752852917,0.009006633217,0.09123329548
nan,nan,nan,4.772943974,0.008986945382,0.09088626447
nan,nan,nan,4.792532921,0.008981673332,0.09054212753
nan,nan,nan,4.813305855,0.008970484234,0.09020082358
nan,nan,nan,4.832527876,0.008936887097,0.08986222385
nan,nan,nan,4.852633953,0.008918414124,0.08952635742
nan,nan,nan,4.872653008,0.008924980333,0.08919329388
nan,nan,nan,4.893272877,0.008885611893,0.08886280959
nan,nan,nan,4.913130045,0.008895480526,0.08853507463
nan,nan,nan,4.932543039,0.008881706394,0.08820995885
nan,nan,nan,4.952589989,0.008879560114,0.08788747755
nan,nan,nan,4.972688913,0.008876874649,0.08756759657
nan,nan,nan,4.992569923,0.008860412906,0.08725022889
nan,nan,nan,5.012729883,0.008863272153,0.08693542183
nan,nan,nan,5.034209013,0.008795504825,0.08662286217
nan,nan,nan,5.053232908,0.008809109112,0.08631284721
nan,nan,nan,5.072955847,0.008820631508,0.08600533842
