鏃堕棿(s)	浣嶇疆x(m)	浣嶇疆y(m)	浣嶇疆z(m)	娆ф媺瑙抮oll(rad)	娆ф媺瑙抪itch(rad)	娆ф媺瑙抷aw(rad)	閫熷害x(m/s)	閫熷害y(m/s)	閫熷害z(m/s)
1782895723.952445	-0.48179	-0.003216	1.293640	0.012337	-0.003173	0.496542	-0.011969	-0.003704	-0.000987
1782895723.960628	-0.481827	-0.003200	1.293503	0.012561	-0.002028	0.497933	-0.006434	-0.003694	-0.000853
1782895723.969826	-0.481881	-0.003252	1.293537	0.013761	-0.002020	0.498294	-0.009915	-0.000613	0.004121
1782895723.980023	-0.481988	-0.003187	1.293536	0.011572	-0.001815	0.499467	-0.009915	-0.000613	0.004121
1782895723.990310	-0.481941	-0.003311	1.293502	0.012209	-0.000419	0.502160	-0.009915	-0.000613	0.004121
1782895724.000035	-0.481941	-0.003311	1.293502	0.012209	-0.000419	0.502160	-0.006017	-0.000923	0.011244
1782895724.010088	-0.48202	-0.003130	1.293647	0.008639	0.000123	0.504463	-0.009852	-0.000559	0.015068
1782895724.020454	-0.482204	-0.003228	1.293857	0.009290	0.001783	0.506040	-0.009852	-0.000559	0.015068
1782895724.032234	-0.48228	-0.003171	1.294052	0.005861	0.003103	0.507843	-0.009852	-0.000559	0.015068
1782895724.040473	-0.482263	-0.003064	1.294225	0.005005	0.003755	0.509949	-0.008700	0.003938	0.021647
1782895724.051267	-0.482353	-0.003008	1.294396	0.006705	0.003729	0.509967	-0.006111	-0.001667	0.032786
1782895724.059993	-0.482489	-0.002962	1.294918	0.009386	0.003443	0.511567	-0.006111	-0.001667	0.032786
1782895724.069934	-0.482503	-0.002940	1.295186	0.008733	0.004396	0.512674	-0.009357	0.004854	0.027535
1782895724.080421	-0.482583	-0.002860	1.295690	0.011824	0.006363	0.513828	-0.009357	0.004854	0.027535
1782895724.090151	-0.482583	-0.002860	1.295690	0.011824	0.006363	0.513828	-0.003697	0.000765	0.044190
1782895724.099550	-0.482712	-0.002881	1.295993	0.012425	0.005486	0.515976	-0.003697	0.000765	0.044190
1782895724.110415	-0.482784	-0.003065	1.296324	0.013293	0.005696	0.519811	-0.003697	0.000765	0.044190
1782895724.119923	-0.482816	-0.002976	1.296712	0.012756	0.006692	0.521850	-0.003229	-0.000106	0.034455
1782895724.129570	-0.482765	-0.002825	1.297363	0.008036	0.008334	0.522312	-0.005411	0.005776	0.034788
1782895724.140017	-0.482784	-0.002743	1.298041	0.008255	0.009027	0.523207	-0.005411	0.005776	0.034788
1782895724.150286	-0.482793	-0.002781	1.298295	0.008314	0.010541	0.524660	0.003701	-0.001516	0.042090
1782895724.159452	-0.482916	-0.002705	1.298735	0.009713	0.009301	0.525945	0.003701	-0.001516	0.042090
1782895724.169584	-0.482857	-0.002731	1.299059	0.012352	0.008449	0.528695	0.003176	-0.000838	0.019430
1782895724.179475	-0.482818	-0.002661	1.299413	0.013310	0.007503	0.530415	0.003176	-0.000838	0.019430
1782895724.191170	-0.482747	-0.002643	1.299694	0.012952	0.008321	0.532097	0.003176	-0.000838	0.019430
1782895724.199574	-0.482673	-0.002443	1.300008	0.009725	0.008838	0.532877	-0.002672	0.005281	0.012346
1782895724.209426	-0.482673	-0.002443	1.300008	0.009725	0.008838	0.532877	0.003580	0.001497	0.012324
1782895724.219835	-0.482618	-0.002159	1.300277	0.011900	0.008286	0.535032	0.003580	0.001497	0.012324
1782895724.230607	-0.482614	-0.002042	1.300294	0.015509	0.006697	0.536919	0.010270	-0.002907	0.000811
1782895724.240023	-0.48257	-0.002122	1.300236	0.015493	0.006099	0.540222	0.010270	-0.002907	0.000811
1782895724.251300	-0.482431	-0.002152	1.300203	0.015829	0.006260	0.541061	0.006125	-0.000034	-0.021558
