时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782832651.579291	0.262074	-0.049960	0.307736	-0.002672
1782832651.593478	0.261531	-0.058060	0.319731	-0.002031
1782832651.607518	0.264316	-0.076149	0.321428	-0.001867
1782832651.623276	0.266261	-0.048873	0.316896	-0.001322
1782832651.637281	0.264531	-0.059740	0.310618	-0.001322
1782832651.650931	0.264573	-0.062610	0.305159	-0.000938
1782832651.668217	0.272068	-0.077101	0.303700	-0.000610
1782832651.683302	0.279888	-0.062851	0.321612	-0.000304
1782832651.699605	0.277764	-0.059718	0.338400	0.000069
1782832651.714607	0.276370	-0.079137	0.333829	0.000589
1782832651.728648	0.276467	-0.078407	0.327121	0.000754
1782832651.743521	0.279021	-0.089176	0.355344	0.000923
1782832651.757348	0.277922	-0.092873	0.364730	0.000732
1782832651.770876	0.277908	-0.100325	0.367825	0.001260
1782832651.786897	0.279813	-0.078846	0.363132	0.001135
1782832651.801115	0.273667	-0.072977	0.351310	0.001487
1782832651.816324	0.272010	-0.111742	0.368058	0.002095
1782832651.834271	0.272010	-0.111742	0.368058	0.002095
1782832651.848339	0.273637	-0.054989	0.387426	0.002493
1782832651.861742	0.268052	-0.083229	0.391660	0.002679
1782832651.875343	0.268309	-0.092769	0.401852	0.003209
1782832651.889598	0.267407	-0.079421	0.393582	0.003699
1782832651.905073	0.271295	-0.066848	0.397685	0.004326
1782832651.919001	0.271709	-0.048558	0.372692	0.004780
1782832651.934435	0.271747	-0.071097	0.397986	0.004375
1782832651.948286	0.273700	-0.049048	0.383720	0.004643
1782832651.962648	0.271163	-0.057002	0.384515	0.005904
1782832652.000754	0.278634	-0.049340	0.392529	0.006100
1782832652.015400	0.279505	-0.051261	0.380440	0.007003
1782832652.033717	0.279505	-0.049023	0.384415	0.007533
1782832652.054983	0.272454	-0.027383	0.374720	0.007781
1782832652.069499	0.272283	-0.039408	0.372191	0.008914
1782832652.085238	0.270435	-0.045984	0.407130	0.009140
1782832652.099383	0.270769	-0.022615	0.407952	0.009612
1782832652.115395	0.270282	-0.004164	0.398662	0.010596
1782832652.143208	0.265005	-0.009871	0.388383	0.010596
1782832652.160525	0.269353	-0.006510	0.389133	0.012221
1782832652.179097	0.270056	0.004063	0.390117	0.013083
1782832652.199916	0.274593	-0.004840	0.404345	0.013746
1782832652.225501	0.275893	-0.011513	0.370609	0.014765
1782832652.243892	0.275777	-0.014752	0.355000	0.015655
1782832652.263489	0.279693	-0.000189	0.336273	0.016703
1782832652.280363	0.277146	0.010411	0.355216	0.016964
1782832652.302491	0.274689	0.001606	0.360472	0.018157
1782832652.316107	0.278528	0.010589	0.337361	0.018983
1782832652.332041	0.278517	0.004389	0.334316	0.019610
1782832652.345648	0.280402	-0.008134	0.311930	0.019581
1782832652.359140	0.283733	-0.003959	0.317145	0.020571
